title,company,skills,Type,Duration,experience_level,salary,date_posted,city,governorate,country
administrative executive/ office manager,astronic,"administration, microsoft office, office management, communication, presentations",on-site,full time,experienced,,2 months ago,nasr city, cairo, egypt
digital transformation & systems specialist,confidential,"computer science, appsheet, power bi, google sheets, microsoft excel, ai, data analysis, process automation, system integration",on-site,full time,experienced,,2 months ago,new cairo, cairo, egypt
b 2 b sales manager,elsheikh logistics,"b2b sales, trucking, logistics, b2b, sales, business development, market research",on-site,full time,experienced,,2 months ago,ameria, alexandria, egypt
sr. cost control engineer,dme holding,"cost control, project cost control, cost analysis, project management, cost reduction, cost accounting, cost estimation",on-site,full time,experienced,,2 months ago,north coast, matruh, egypt
"administrative assistant, office of secretary general",su tech - elsewedy university,"administration, microsoft office, office management, communication, organizing, customer support, management, business administration",on-site,full time,experienced,,2 months ago,10th of ramadan city, sharqia, egypt
data analyst engineer,basco engineering &trading,"data engineering, statistical analysis, data visualization, data analysis, dashboard development, problem solving",on-site,full time,experienced,,2 months ago,heliopolis, cairo, egypt
stock controller,trustcom,"stock control, stock management, inventory management, supply chain operations, warehouse operations, data entry, organization skills, attention to detail, problem solving",on-site,full time,entry level,,2 months ago,new capital, cairo, egypt
senior design bim architect,egygab developments,"architect, architecture, design, autocad, engineering, drawings, english, computer skills",on-site,full time,experienced,,2 months ago,new cairo, cairo, egypt
factory manager,confidential,"production, pastry, agriculture, science, fmcg, management, gmp, quality",on-site,full time,manager,,2 months ago,maadi, cairo, egypt
accounts payable accountant,meahco - saudi german health,"accounts payable, finance, accounting",on-site,full time,experienced,,2 months ago,cairo,cairo, egypt
senior it project manager,al-massagroup,"project management, pmp, agile, scrum, it service management, ai, cybersecurity",on-site,full time,manager,,2 months ago,nasr city, cairo, egypt
it budgeting & procurement specialist,national technology group,"budgeting, information technology (it), procurement, purchasing, supply chain",hybrid,full time,experienced,,2 months ago,6th of october, giza, egypt
design engineer,kandil egypt,"design, engineering, steel design, construction design, applied arts",on-site,full time,experienced,,2 months ago,obour city, cairo, egypt
technical office engineer,confidential,"technical office, engineering, site engineering, computer science, information technology (it), microsoft office, projects",on-site,full time,experienced,,2 months ago,6th of october, giza, egypt
senior financial planning & analysis specialist,cairo three a  poultry,"fmva, budgeting and forecasting, excel proficiency, financial analysis, financial planning",on-site,full time,experienced,,2 months ago,new cairo, cairo, egypt
electrical engineer lead,joy glass,"design, electrical engineering, engineering, mechanical engineering, project management, system design, troubleshooting, installation",on-site,full time,experienced,,2 months ago,6th of october, giza, egypt
sales executive,jazeera paints,"marketing, chemical, paints, sales, sales skills, sales target, paintshop pro",on-site,full time,entry level,,2 months ago,sheikh zayed, giza, egypt
sales & marketing executive,cooltechpowerdieselgenerator,"marketing, sales, sales target, communication, engineering, microsoft office, administration, business administration",on-site,full time,experienced,,2 months ago,badr city, cairo, egypt
it support executive,gahez digital marketing,"information technology (it), microsoft office suite, networking, hardware support, hardware maintenance, troubleshooting, system administration, technical support",on-site,full time,experienced,,2 months ago,giza,giza, egypt
technical support,joy glass,"computer science, customer service, configuration, information technology (it), troubleshooting, technical support, network administration",on-site,full time,experienced,,2 months ago,6th of october, giza, egypt
junior electrical procurement engineer,modern controls,"procurement engineer, electrical engineering, electrical, engineering, procurement",on-site,full time,entry level,,2 months ago,giza,giza, egypt
research and development engineer,infinity egypt,"electronics engineering, communication engineering",on-site,full time,entry level,,2 months ago,dokki, giza, egypt
media buyer,yzh,"social media, online advertising, marketing campaigns, digital marketing, google ads, marketing, ads",on-site,full time,experienced,,2 months ago,cairo,cairo, egypt
senior accountant,gahez digital marketing,"accounting, financial analysis, financial management, gaap, ifrs, budgeting, forecasting, reconciliation, microsoft excel",on-site,full time,experienced,,2 months ago,sheikh zayed, giza, egypt
procurement specialist,joy glass,"communication, erp, logistics, management, manufacturing, procurement, purchasing",on-site,full time,experienced,,2 months ago,6th of october, giza, egypt
transportation manager,dam group,"logistics, management, supply chain, transportation, fleet management, route optimization, inventory management, operations management",on-site,full time,manager,,2 months ago,cairo,cairo, egypt
warehouse manager,confidential,"supply chain, warehousing, inventory management, supply chain management, logistics, operations management, team leadership",on-site,full time,manager,,2 months ago,abu qurqas, minya, egypt
social studies teacher (arabic),gamma international college,"social studies, teaching, history, political science, geography, teaching knowledge test",on-site,full time,experienced,,2 months ago,6th of october, giza, egypt
site administrative manager,confidential,"administration, management, administrative affairs, operations management, team leadership, strategic planning, resource allocation, facilities management",on-site,full time,manager,,2 months ago,abu qurqas, minya, egypt
senior mechanical engineer,confidential,"wastewater treatment, pumps, pipe sizing, autocad, hydraulic, sludge treatment, pumping stations, communication, computer science",on-site,full time,experienced,,2 months ago,cairo,cairo, egypt
cost & project controller,atkins realis,"cost control, project control, cost controls, project controls, civil engineering, construction, engineering, finance",hybrid,full time,experienced,,2 months ago,cairo,cairo, egypt
hr manager,gahez digital marketing,"recruitment, personnel management, human resources (hr), employee relations, talent acquisition, hr policies, performance management, compensation & benefits, onboarding",on-site,full time,experienced,,2 months ago,sheikh zayed, giza, egypt
it system engineer,anasia egypt for trading,"computer science, engineering, information technology (it), software development",on-site,full time,experienced,,2 months ago,badr city, cairo, egypt
general accountant,tawasoa factoring,"accounting, finance, financial analysis, financial management, general accounting, financial accounting, financial services, finance management",on-site,full time,entry level,,2 months ago,sheraton, cairo, egypt
head electrical maintenance engineer,perfecto polymers,"maintenance, electrical engineering, electrical maintenance, automatic control, electronic circuits, troubleshooting, preventive maintenance, industrial automation",on-site,full time,manager,,2 months ago,badr city, cairo, egypt
senior mechanical maintenance engineer,tank,"electrical engineering, mechanical maintenance, engineering, maintenance, mechanical, mechanical engineering",on-site,full time,entry level,,2 months ago,10th of ramadan city, cairo, egypt
sales representative consultant,elkafrawy automotive,"automotive sales, negotiation, cars sales, customer relationship management, sales strategy, communication skills, product knowledge, market research, closing deals",on-site,full time,entry level,,2 months ago,zagazig, sharqia, egypt
social media marketing and e-commerce,confidential,"e-commerce, e-marketing, social media",on-site,full time,experienced,,2 months ago,mohandessin, giza, egypt
senior project coordinator,ibn sina pharma,"team leadership, communication skills, autocad, autocad architecture, autocad design, ms project, primavera",on-site,full time,experienced,,2 months ago,new cairo, cairo, egypt
executive secretary,raghaeb for managing restaurants (abu tarek kushari),"microsoft office, office management, administration, business administration, communication, management, ms office",on-site,full time,experienced,,2 months ago,new cairo, cairo, egypt
sales account manager,perfecto polymers,"marketing, sales, sales target, customer relationship management, negotiation, communication, presentation skills",hybrid,full time,entry level,,2 months ago,cairo,cairo, egypt
product care assistant manager,tank,"mechanical engineering, product management, product development, engineering, r&d, administration, customer care",on-site,full time,experienced,,2 months ago,10th of ramadan city, cairo, egypt
elevator sales engineer,alpha matar co. for elevators & escalators,"sales, engineering, sales skills, development, software development, technical, selling",on-site,full time,experienced,,2 months ago,dokki, giza, egypt
r&d draftsman,tank,"engineering, r&d, research, autocad, design, development, management, manufacturing",on-site,full time,entry level,,2 months ago,10th of ramadan city, cairo, egypt
graphic designer 2d,arma-hsa,"graphic design, design, adobe illustrator, adobe photoshop, digital marketing, creative, illustrator, marketing",on-site,full time,experienced,,2 months ago,new cairo, cairo, egypt
digital marketing manager | e-commerce - october,olaglory general trading,"digital marketing, google adsense, email marketing, team management, seo, media buying, marketing strategy, social media strategy",on-site,full time,manager,,2 months ago,6th of october, giza, egypt
"workshop manager ""automotive""",nour eldin elsherif for trading vehicles,"engineering, workshop, automotive, automotive engineering, mechanical engineering, maintenance, mechanical",on-site,full time,manager,,2 months ago,katameya, cairo, egypt
co teacher,gamma international college,"teaching, classroom management, english instructing, nursery, teaching knowledge test",on-site,full time,entry level,,2 months ago,6th of october, giza, egypt
control systems engineer,confidential,"ladder logic, plc scada, industrial networking, hmi, rockwell automation, wincc, modbus, rtu, ethernet ip",on-site,full time,experienced,,2 months ago,cairo,cairo, egypt
medical representative,confidential,"medical, pharmacy, sales, communication, selling, presentations, veterinary medicine",on-site,full time,experienced,,2 months ago,aswan,aswan, egypt
purchase specialist,investment company for dairy products,"purchasing, procurement, logistics, supply chain management, vendor management, negotiation, contract management, inventory control",on-site,full time,experienced,,2 months ago,abu alnumros, giza, egypt
telesales agent - real estate,akar town for real estate,"customer service, active listening, time management, customer support, cs, call center, call assessment, conflict resolution, communication",on-site,full time,entry level,,2 months ago,new cairo, cairo, egypt
electrical technical office engineer,mahmoud electric,"autocad software, electrical engineering, technical office, engineering",on-site,full time,entry level,,2 months ago,abbassia, cairo, egypt
gl supervisor,el ola steel group,"erp system, accounting, finance",on-site,full time,experienced,,2 months ago,sheikh zayed, giza, egypt
senior performance marketing specialist,al mokhlif oud,"e-marketing, social media, marketing, crm, google analytics, seo, digital marketing, e-commerce",on-site,full time,experienced,,2 months ago,nasr city, cairo, egypt
sales director – light current & security systems,c&cc,"light current, sales, security, security systems, systems",on-site,full time,senior management,,2 months ago,cairo,cairo, egypt
it technical support engineer,dreem mashreq foods,"computer science, engineering, information technology (it), technical support",on-site,full time,experienced,,2 months ago,bourj alarab, alexandria, egypt
call center agent for english account ( b1+ ),etisalat egypt,"call center, customer care, customer service, customer support, english, customer relations, custom clearance, customs clearance, customer satisfaction",on-site,full time,entry level,,2 months ago,maadi, cairo, egypt
sales account manager,hertz,"sales, sales target, outdoor sales, negotiation, crm, communication, customer service",on-site,full time,experienced,,2 months ago,cairo,cairo, egypt
