title,company,location,skills,Type,Duration,experience_level,salary,date_posted
Accounting Administrative Assistant - MUST HAVE EXCELLENT ENGLISH,Assist Group Limited  -,"Dokki, Giza, Egypt ","['crm management', 'sales tax', 'american licensing', 'american tax system', 'nys tax system']",On-site,Full Time,Entry Level,Confidential,10 hours ago
Collection Specialist,Medexera  -,"New Cairo, Cairo, Egypt ","['collection', 'microsoft office', 'finance', 'accounting', 'call center', 'negotiation', 'collections', 'communication']",On-site,Full Time,Entry Level,Confidential,14 hours ago
Operations Manager-Night shift,Medexera  -,"Downtown, Cairo, Egypt ","['operations management', 'customer care', 'business english', 'sales', 'management', 'microsoft office', 'call center', 'b2 english', 'team management']",On-site,Full Time,Manager,Confidential,15 hours ago
Social Media Specialist,8X Egypt -,"Maadi, Cairo, Egypt ","['e-marketing', 'marketing', 'social media', 'b2b', 'crm', 'moderation']",On-site,Full Time,Entry Level,Confidential,18 hours ago
Anti-fraud Advisor (Entry level),Etisalat Egypt -,"Maadi, Cairo, Egypt ","['fraud investigation', 'data analysis', 'transaction monitoring', 'transaction lifecycle', 'fintech', 'complaince']",On-site,Full Time,Entry Level,Confidential,19 hours ago
English Teacher,Eastlands International School -,"Shorouk City, Cairo, Egypt ","['english teaching', 'teaching']",On-site,Full Time,Experienced,Confidential,20 hours ago
"Software QA Test Engineer (Manual & Automation) (Full-Time, Remote)",iBrokerage Ltd. -,"Cairo, Egypt ","['automation', 'information technology (it)', 'computer science', 'quality assurance', 'quality control', 'software tester']",Remote,Full Time,Experienced,Confidential,21 hours ago
Internship 2026 - Digital Marketing Content Creator,TA telecom -,"Maadi, Cairo, Egypt ","['content creation', 'digital media', 'editing', 'social media', 'writing', 'digital marketing', 'arabic']",Hybrid,Internship,Entry Level,Confidential,22 hours ago
Arabic SME,Thaka International -,"Nasr City, Cairo, Egypt ","['e-learning', 'teaching', 'content development', 'arabic teaching', 'sme', 'instructional design']",Hybrid,Full Time,Entry Level,Confidential,22 hours ago
Instructional Designer,Thaka International -,"Nasr City, Cairo, Egypt ","['e-learning development', 'instructional design', 'collaboration', 'communication', 'creative']",Hybrid,Full Time,Experienced,Confidential,22 hours ago
Power & Electrical Machinery Engineer,The Egyptian Co. for Electrical Industries -,"10th of Ramadan City, Cairo, Egypt ","['electrical engineering', 'electrical design & shop drawings', 'autocad', 'power distribution', 'load calculations', 'microsoft office (excel, word, powerpoint)']",On-site,Full Time,Entry Level,Confidential,22 hours ago
Senior Architect,Capital Link Developments -,"New Cairo, Cairo, Egypt ","['design', 'autocad', 'architecture', 'revit', 'architectural engineering', 'engineering', 'english', 'microsoft office', 'architectural']",On-site,Full Time,Experienced,Confidential,23 hours ago
AR Specialist out Door,Zinox&Master -,"Obour City, Cairo, Egypt ","['accounting', 'accounts receivable', 'financial reporting', 'credit management', 'collection strategies', 'customer relationship management', 'data entry', 'microsoft excel', 'communication skills']",On-site,Full Time,Experienced,Confidential,23 hours ago
Project Control Manager,Confidential -,"Sheikh Zayed, Giza, Egypt ","['contracts management', 'claims management', 'planning', 'cost control', 'project cost control']",On-site,Full Time,Manager,Confidential,23 hours ago
Product Manager,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt ","['information technology (it)', 'product', 'product management', 'software development', 'product development', 'business analysis', 'business analytics', 'agile']",Hybrid,Full Time,Experienced,Confidential,23 hours ago
Production Manager,FlexFilms Egypt -,"6th of October, Giza, Egypt ","['engineering', 'management', 'manufacturing', 'production', 'lean manufacturing', 'quality control', 'supply chain management']",On-site,Full Time,Manager,Confidential,23 hours ago
Sales Executive-B2B,Egypt Gold  -,"Cairo, Egypt ","['b2b', 'sales', 'sales target', 'outdoor sales', 'contract negotiation', 'b2b sales', 'negotiation']",On-site,Full Time,Entry Level,Confidential,23 hours ago
Electronics Team Leader,BEDO Company  -,"6th of October, Giza, Egypt ","['electronics', 'electrical engineering']",On-site,Full Time,Experienced,Confidential,23 hours ago
Senior Electrical Power Engineer,BEDO Company  -,"6th of October, Giza, Egypt ","['electrical engineering', 'engineering']",On-site,Full Time,Experienced,Confidential,23 hours ago
Graphic Designer - Real Estate,Valero Development -,"Obour City, Cairo, Egypt ","['graphic design', 'creative', 'adobe photoshop', 'adobe illustrator', 'motion graphics', 'marketing', 'illustrator', 'digital marketing']",On-site,Full Time,Experienced,Confidential,23 hours ago
Sales Supervisor (Port Said),Soficopharm -,"Port Said, Egypt ","['sales', 'sales target', 'customer service', 'pharmaceutical', 'pharmaceutical sales', 'coaching']",On-site,Full Time,Experienced,Confidential,23 hours ago
Electrical Sales Engineer,Gila Electric -,"6th of October, Giza, Egypt ","['electrical', 'sales', 'panels', 'communication', 'communication skills', 'electrical engineering', 'engineering', 'lighting']",On-site,Full Time,Experienced,Confidential,24 hours ago
Senior Social media specialist ( Music Industry),Injaz Digital  -,"Heliopolis, Cairo, Egypt ","['digital marketing', 'social media', 'sales', 'e-marketing', 'marketing', 'company branding', 'branding']",Hybrid,Full Time,Experienced,Confidential,24 hours ago
Telecommunication and Electronics Engineer Senior,idaco -,"6th of October, Giza, Egypt ","['electronics', 'engineering', 'telecommunication', 'altium', 'design', 'eagle', 'electrical engineering', 'information technology (it)']",On-site,Full Time,Experienced,Confidential,24 hours ago
Sales Marketing Executive,BoschCenter-MaamounFarag -,"Obour City, Cairo, Egypt ","['sales', 'sales target', 'marketing']",On-site,Full Time,Experienced,Confidential,24 hours ago
Telecommunication and electronics engineer fresh,idaco -,"6th of October, Giza, Egypt ","['electronics', 'engineering', 'telecommunication', 'information technology (it)']",On-site,Full Time,Entry Level,Confidential,24 hours ago
AI / Machine Learning Engineer,Confidential -,"Cairo, Egypt ","['python', 'machine learning', 'artificial intelligence (ai)', 'generative ai', 'large language models (llms)', 'rag', 'nlp', 'embeddings', 'vector databases']",Hybrid,Full Time,Experienced,Confidential,24 hours ago
Qualified Translator,Medecins Sans Frontieres -,"Aswan, Aswan, Egypt ","['health care', 'ingo', 'humanitarian', 'msf', 'medical translation', 'english translation', 'arabic translation']",On-site,Full Time,Entry Level,Confidential,24 hours ago
Sales Manager | Sheikh Zayed,WUZZUF -,"Cairo, Egypt ","['sales', 'business development', 'horeca', 'fmcg', 'ecommerce']",On-site,Full Time,Experienced,Confidential,1 day ago
Accounts Receivable Accountant (AR),Yodawy -,"Mohandessin, Giza, Egypt ","['accounting', 'accounts receivable', 'finance', 'ar', 'ms office', 'erp', 'oodo', 'financial', 'financial analysis']",On-site,Full Time,Entry Level,Confidential,1 day ago
Sales Account Manager,Confidential -,"Maadi, Cairo, Egypt ","['export sales', 'export', 'key account management', 'english education', 'engineering', 'business administration', 'glass', 'aluminum']",On-site,Full Time,Experienced,Confidential,1 day ago
Planning Manager - Engineering,Kandil Glass -,"10th of Ramadan City, Cairo, Egypt ","['planning', 'management', 'erp', 'business', 'supply', 'supply chain', 'demand planning']",On-site,Full Time,Manager,Confidential,1 day ago
Logistics Specialist,Delta Egypt For Lighting  -,"Obour City, Cairo, Egypt ","['logistics', 'communication skills', 'supply chain', 'supply chain management', 'software', 'nafeza', 'accounting', 'import', 'supply']",On-site,Full Time,Entry Level,Confidential,1 day ago
Executive Director Engineer,Khater Sports Group -,"Nasr City, Cairo, Egypt ","['administration', 'management', 'strategic planning', 'operations management', 'project management', 'financial oversight', 'leadership']",On-site,Full Time,Senior Management,Confidential,1 day ago
Customer Relation Executive,Arabiat -,"Obour City, Cairo, Egypt ","['automobile engineering', 'customer service', 'customer support', 'communication skills', 'problem-solving', 'active listening', 'empathy', 'conflict resolution', 'crm software']",On-site,Full Time,Entry Level,Confidential,1 day ago
Accounts Receivable Manager,IGI-Group -,"Sheikh Zayed, Giza, Egypt ","['accounts receivable', 'finance', 'accounting', 'financial reporting', 'cash flow management', 'credit management', 'risk assessment', 'team leadership', 'process improvement']",On-site,Full Time,Manager,Confidential,1 day ago
Sales Account Manager,Injaz Digital  -,"New Cairo, Cairo, Egypt ","['sales', 'sales skills', 'sales target', 'marketing', 'account manager', 'business', 'business administration']",On-site,Full Time,Experienced,Confidential,1 day ago
BIM Architectural Engineer,EGEC -,"Haram, Giza, Egypt ","['architecture', 'autocad', 'revit architecture', 'revit bim', 'architectural engineering', 'autodesk revit', 'autodesk', 'civil engineering', 'navisworks']",On-site,Full Time,Experienced,Confidential,1 day ago
Senior PL/FF Design Engineer,EGEC -,"Haram, Giza, Egypt ","['design', 'revit mep', 'autocad mechanical', 'mechanical', 'mep', 'revit', 'autocad', 'engineering']",On-site,Full Time,Experienced,Confidential,1 day ago
Architect,Confidential -,"Maadi, Cairo, Egypt ","['architecture', 'cad software', 'sketchup', 'english', 'construction', 'design', 'drawing', 'architectural design', 'autocad']",Remote,Full Time,Experienced,Confidential,1 day ago
for testing,Nada account test -,"Alghanayem, Assiut, Egypt ","['information technology (it)', 'business intelligence development']",Remote,Internship,Entry Level,Confidential,1 day ago
Lab Application Engineer (R&D Engineer),Bakeland Egypt  -,"10th of Ramadan City, Cairo, Egypt ","['r&d', 'quality control', 'quality assurance', 'food production', 'food manufacturing', 'food & beverage', 'food hygiene', 'food science', 'food quality']",On-site,Full Time,Entry Level,Confidential,1 day ago
